epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8723,1.41617,2.04413,1.4532,0.65926,0.55281,0.56854,0.24738,1.91709,1.59425,1.77125,0.000301141,0.000301141,0.000301141
2,75.4643,1.337,1.47615,1.38789,0.68856,0.49764,0.52478,0.21046,2.06435,1.73252,1.87302,0.000592179,0.000592179,0.000592179
3,109.467,1.34478,1.43719,1.38417,0.73016,0.53621,0.58275,0.2501,1.96316,1.54709,1.77226,0.000871218,0.000871218,0.000871218
4,144.53,1.3283,1.39735,1.38611,0.73496,0.55876,0.60598,0.2888,1.8892,1.42062,1.71155,0.000855005,0.000855005,0.000855005
5,182.59,1.28285,1.3126,1.3536,0.75189,0.6056,0.64844,0.29578,1.90756,1.41197,1.71999,0.000837007,0.000837007,0.000837007
6,219.169,1.25958,1.25274,1.33651,0.78457,0.58231,0.64369,0.31067,1.82574,1.35431,1.6668,0.000819009,0.000819009,0.000819009
7,253.018,1.24368,1.2021,1.31725,0.80802,0.61035,0.66912,0.3214,1.76503,1.38271,1.66226,0.000801011,0.000801011,0.000801011
8,288.454,1.2199,1.15712,1.30224,0.74127,0.57643,0.63759,0.30305,1.92978,1.33276,1.72819,0.000783013,0.000783013,0.000783013
9,323.722,1.20161,1.11818,1.28618,0.8199,0.63157,0.69423,0.3401,1.76513,1.18242,1.63014,0.000765014,0.000765014,0.000765014
10,361.122,1.16404,1.06178,1.2597,0.83633,0.63292,0.70154,0.36786,1.7493,1.11671,1.62027,0.000747016,0.000747016,0.000747016
11,399.431,1.14528,1.03064,1.25361,0.84155,0.65251,0.71114,0.34636,1.6737,1.09314,1.56666,0.000729018,0.000729018,0.000729018
12,437.84,1.13065,0.99849,1.24351,0.83063,0.67127,0.71688,0.37564,1.6468,1.08806,1.54635,0.00071102,0.00071102,0.00071102
13,474.013,1.11427,0.98097,1.22751,0.88413,0.6592,0.7471,0.38883,1.62573,1.06994,1.52931,0.000693022,0.000693022,0.000693022
14,508.604,1.09152,0.95249,1.21653,0.82002,0.65659,0.7237,0.38604,1.58249,1.05172,1.51136,0.000675023,0.000675023,0.000675023
15,542.331,1.08731,0.9275,1.20917,0.83954,0.67475,0.74173,0.38279,1.61518,1.04885,1.53148,0.000657025,0.000657025,0.000657025
16,575.982,1.06114,0.89941,1.19272,0.88106,0.67421,0.74308,0.41533,1.52284,0.96945,1.45813,0.000639027,0.000639027,0.000639027
17,609.872,1.06029,0.87876,1.18694,0.89717,0.68141,0.75686,0.38436,1.70519,1.02363,1.5606,0.000621029,0.000621029,0.000621029
18,644.074,1.05332,0.86432,1.18081,0.85453,0.70308,0.74898,0.40584,1.61376,0.96628,1.4953,0.000603031,0.000603031,0.000603031
19,678.086,1.03031,0.84478,1.17383,0.86265,0.69289,0.76116,0.39462,1.57338,0.95367,1.50805,0.000585032,0.000585032,0.000585032
20,711.914,1.01181,0.83595,1.16352,0.87698,0.70102,0.75848,0.41508,1.55125,0.94314,1.47599,0.000567034,0.000567034,0.000567034
