epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8723,1.41617,2.04413,1.4532,0.6760514222622562,0.5764411666025757,0.5939323129571185,0.2735873131578625,1.858806614684694,1.5176278372523728,1.7281455229641907,0.000301141,0.000301141,0.000301141
2,75.4643,1.337,1.47615,1.38789,0.7123094732221459,0.5185189390736654,0.5371978178815259,0.2359771170651095,1.97289784538957,1.6871455504784172,1.8217580918448657,0.000592179,0.000592179,0.000592179
3,109.467,1.34478,1.43719,1.38417,0.7477122733724254,0.5481098811373759,0.5969735576185417,0.2693671047586882,1.9134188098374512,1.490817717935697,1.7145924571372435,0.000871218,0.000871218,0.000871218
4,144.53,1.3283,1.39735,1.38611,0.7603002124130135,0.586291244705317,0.6325985102876581,0.31057388623808124,1.8443667127561056,1.3717045025606471,1.636194306024117,0.000855005,0.000855005,0.000855005
5,182.59,1.28285,1.3126,1.3536,0.7648432852536788,0.6187715113314152,0.6694264366469168,0.3153668850562129,1.8384258000912082,1.373428025107242,1.66159091915548,0.000837007,0.000837007,0.000837007
6,219.169,1.25958,1.25274,1.33651,0.8129454122188791,0.6073930325662688,0.6616432731498529,0.3213845554660499,1.7510279094709653,1.320134888342864,1.6281702283979447,0.000819009,0.000819009,0.000819009
7,253.018,1.24368,1.2021,1.31725,0.8225086519331146,0.6257221707583261,0.6879249819268209,0.34126249087225424,1.7140496982969433,1.3138670585783938,1.5898525610499703,0.000801011,0.000801011,0.000801011
8,288.454,1.2199,1.15712,1.30224,0.7595372382538561,0.5877366188436445,0.6569681991205832,0.3181501202250489,1.835027170655885,1.2836206454106467,1.6847145758904871,0.000783013,0.000783013,0.000783013
9,323.722,1.20161,1.11818,1.28618,0.8302120645097208,0.6512804934651417,0.7116405133899482,0.3634037575471159,1.723845104837504,1.128596066329568,1.5782338078407123,0.000765014,0.000765014,0.000765014
10,361.122,1.16404,1.06178,1.2597,0.854452120026257,0.6502032445745123,0.7283397797067132,0.380703312626454,1.6989066911093313,1.0630923480102916,1.5523882549424515,0.000747016,0.000747016,0.000747016
11,399.431,1.14528,1.03064,1.25361,0.8527899086179058,0.6758234800061628,0.7408613879137483,0.369006312927323,1.6175094413697841,1.0397646031335288,1.510113158083341,0.000729018,0.000729018,0.000729018
12,437.84,1.13065,0.99849,1.24351,0.8479594485071531,0.6983824379595707,0.7428825413557277,0.388108632854964,1.594663702528996,1.0382659247311135,1.4831606702526292,0.00071102,0.00071102,0.00071102
13,474.013,1.11427,0.98097,1.22751,0.9109050946623748,0.6842639945879934,0.7762937397890421,0.41723420789376636,1.566819067780779,1.0198422710649615,1.4908089082629925,0.000693022,0.000693022,0.000693022
